label,workload,mode,category,n_base,n_curr,baseline_ns,current_ns,delta_pct,limit_pct,verdict
clang-18,throughput4096.FP64.mul_div,toward_zero,common,27,27,2.5700,2.4979,-2.80,3.0,PASS
clang-18,throughput4096.FP64.mul_wide,nearest_even,common,27,27,2.3823,2.5927,+8.83,3.0,FAIL
clang-18,throughput4096.FP64.mul_wide,toward_zero,common,27,27,2.5278,2.5835,+2.20,3.0,PASS
clang-18,throughput4096.FP64.quantize4,nearest_even,common,27,27,4.7216,5.4563,+15.56,3.0,FAIL
clang-18,throughput4096.FP64.quantize4,toward_zero,common,27,27,3.8078,1.8235,-52.11,3.0,PASS
clang-18,wide_by128.FP128.div,nearest_even,wide,27,27,14.2018,18.0123,+26.83,5.0,FAIL
clang-18,wide_by128.FP128.div,toward_zero,wide,27,27,12.7815,16.2360,+27.03,5.0,FAIL
clang-18,wide_by64.FP128.div,nearest_even,wide,27,27,7.9930,10.6558,+33.31,5.0,FAIL
clang-18,wide_by64.FP128.div,toward_zero,wide,27,27,6.4911,5.0367,-22.41,5.0,PASS
clang-18,wide_product.FP128.mul,nearest_even,wide,27,27,6.8807,10.0818,+46.52,5.0,FAIL
clang-18,wide_product.FP128.mul,toward_zero,wide,27,27,6.0225,4.9213,-18.28,5.0,PASS
clang-18,wide_product.FP128.mul_div,nearest_even,wide,27,27,13.1810,23.0491,+74.87,5.0,FAIL
clang-18,wide_product.FP128.mul_div,toward_zero,wide,27,27,12.5307,18.8717,+50.60,5.0,FAIL
